City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
265,Yulara,AU,54.41,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
267,Hokitika,NZ,46.67,overcast clouds,-42.7167,170.9667,Beachfront Hotel Hokitika
272,Hay River,CA,52.84,overcast clouds,60.8156,-115.7999,Ptarmigan Inn
278,Honningsvag,NO,44.69,overcast clouds,70.9821,25.9704,Nordkapp Vandrerhjem
285,Vrede,ZA,43.61,few clouds,-27.4257,29.1659,Vrede Hotel
287,Solnechnyy,RU,52.18,overcast clouds,50.7214,136.6319,Hotel complex Pastoral
289,Castro,BR,58.35,overcast clouds,-24.7911,-50.0119,CHACARA BAILLY
293,Chuy,UY,55.94,broken clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
300,Port Lincoln,AU,54.64,broken clouds,-34.7333,135.8667,Port Lincoln Hotel
302,Francistown,BW,59.22,scattered clouds,-21.17,27.5079,Budget House
305,Kropotkin,RU,55.99,clear sky,45.4375,40.5756,Hotel Europe Kropotkin
306,Rocha,UY,54.0,clear sky,-34.4833,-54.3333,Beleza Pura B&B
313,Husavik,IS,46.24,overcast clouds,66.0449,-17.3389,Bjarnabúð
315,Nemuro,JP,58.89,moderate rain,43.3236,145.575,Hotel Nemuro Kaiyoutei
318,Visnes,NO,56.21,broken clouds,59.3556,5.2242,Park Inn Haugesund Airport
319,Nenjiang,CN,41.61,few clouds,49.1833,125.2167,Nenjiang Apartment
324,Kyzyl-Suu,KG,58.35,clear sky,42.3414,78.0056,Gostinitsa Nur-Ordo
328,Anadyr,RU,44.44,scattered clouds,64.75,177.4833,"Гостиница ""Анадырь"""
330,Saldanha,ZA,57.97,clear sky,-33.0117,17.9442,Blue Bay Lodge
335,Loukhi,RU,42.19,overcast clouds,66.0764,33.0381,Хостел Северяночка
336,Comodoro Rivadavia,AR,58.12,clear sky,-45.8667,-67.5,Austral Hotel
343,Stornoway,GB,53.92,scattered clouds,58.2093,-6.3865,Caladh Inn
348,Lalibela,ET,57.09,scattered clouds,12.0333,39.0333,Honey Land Hotel Lalibela
350,Palapye,BW,58.91,few clouds,-22.546,27.1251,Camp Itumela
352,Tailai,CN,54.32,light rain,46.3833,123.4,Pearl Garden Hotel
355,Saint-Francois,FR,56.48,broken clouds,46.4154,3.9054,Manoir Du Bonheur
362,Varnavino,RU,40.78,overcast clouds,57.4035,45.0916,Sibles PG Inn
364,Hailar,CN,41.43,broken clouds,49.2,119.7,Holiday Inn & Suites Hulunbuir
369,Constitucion,CL,55.45,overcast clouds,-35.3333,-72.4167,Hotel Boutique Las Azucenas
370,Komsomolets,KZ,44.85,overcast clouds,53.7453,62.0708,Avtostoyanka
378,Lesozavodsk,RU,54.37,clear sky,45.4794,133.4244,Hotel Chelyuskina
402,Dalnegorsk,RU,54.23,clear sky,44.5604,135.5701,Dalnegorsk
413,Barkly West,ZA,53.19,clear sky,-28.5354,24.5215,Stafford Parker Guest House
416,Moose Factory,CA,55.71,overcast clouds,51.2585,-80.6094,Moosonee Lilypad
421,Havre-Saint-Pierre,CA,56.79,few clouds,50.2334,-63.5986,Auberge Niapiskau
422,Shimizu,JP,57.15,overcast clouds,43.0061,142.8847,越中屋旅館
427,Lithgow,AU,57.47,broken clouds,-33.4833,150.15,Zig Zag Motel Lithgow
433,Gravdal,NO,50.27,overcast clouds,68.1214,13.5031,Skreda Rorbusuiter
443,Traralgon,AU,56.17,few clouds,-38.1833,146.5333,Comfort Inn Traralgon
451,Ancud,CL,51.42,light rain,-41.8697,-73.8203,Hotel Arena Gruesa
452,Fairbanks,US,54.3,few clouds,64.8378,-147.7164,Westmark Fairbanks Hotel & Conference Center
453,Linjiang,CN,53.83,clear sky,41.8069,126.9078,格林豪泰
454,Flin Flon,CA,50.59,overcast clouds,54.7682,-101.865,Victoria Inn Flin Flon
457,Eltham,NZ,48.18,clear sky,-39.4292,174.3,Stonewall House Bed & Breakfast
460,Krasnyy Chikoy,RU,46.27,overcast clouds,50.3643,108.7512,Persona
485,Burns Lake,CA,43.3,overcast clouds,54.2331,-125.7533,Burns Lake Bed and Breakfast
491,Polessk,RU,48.97,overcast clouds,54.862,21.1028,Vocation House
498,Semey,KZ,53.47,heavy intensity rain,50.4111,80.2275,Grand Hotel Semey
500,Marondera,ZW,55.18,broken clouds,-18.1853,31.5519,HopeFay Conference Centre
511,Ugljevik,BA,58.51,overcast clouds,44.6636,19.0203,Комсар Енергетик
513,Manzhouli,CN,44.71,overcast clouds,49.6,117.4333,Angala International Youth Hostel
527,Beringovskiy,RU,44.69,scattered clouds,63.05,179.3167,Beringgorski
533,Mehamn,NO,41.79,overcast clouds,71.0357,27.8492,Mehamn Arctic Hotel AS
549,Kenora,CA,57.9,broken clouds,49.8167,-94.4337,Maynard Lake Lodge
550,Hanover,DE,57.02,clear sky,52.3705,9.7332,Central Hotel Kaiserhof
551,Mishan,CN,55.02,few clouds,45.55,131.8833,Mishan Hotel
