City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Saint Anthony,US,2021-09-17 13:53:17,45.0205,-93.218,60.73,88,90,5.01
68,Cayenne,GF,2021-09-17 13:53:18,4.9333,-52.3333,87.1,74,75,5.01
69,Moerai,PF,2021-09-17 13:53:18,-22.4333,-151.3333,71.62,66,22,18.16
70,Isangel,VU,2021-09-17 13:53:19,-19.55,169.2667,70.81,85,100,14.03
71,Houma,US,2021-09-17 13:53:19,29.5958,-90.7195,84.0,93,40,8.05
72,Ulladulla,AU,2021-09-17 13:53:19,-35.35,150.4667,60.87,68,100,7.87
73,Arraial Do Cabo,BR,2021-09-17 13:53:20,-22.9661,-42.0278,75.16,68,75,9.22
74,Asau,RO,2021-09-17 13:53:20,46.4333,26.4,71.76,49,100,4.05
75,Suez,EG,2021-09-17 13:53:21,29.9737,32.5263,88.75,31,0,8.95
76,Vardo,NO,2021-09-17 13:53:21,70.3705,31.1107,43.0,71,93,10.92
77,Klaksvik,FO,2021-09-17 13:53:21,62.2266,-6.589,54.52,99,100,19.8
78,Minna,NG,2021-09-17 13:53:22,9.6139,6.5569,82.11,69,40,6.91
79,Katsuura,JP,2021-09-17 13:53:22,35.1333,140.3,75.31,70,100,18.59
80,Baoning,CN,2021-09-17 13:53:23,25.3378,110.026,78.66,94,75,4.47
81,Sambava,MG,2021-09-17 13:53:23,-14.2667,50.1667,74.62,71,99,7.92
82,Laguna,US,2021-09-17 13:53:23,38.421,-121.4238,63.64,89,1,6.91
83,Jamestown,US,2021-09-17 13:52:39,42.097,-79.2353,71.51,94,90,9.22
84,Port Elizabeth,ZA,2021-09-17 13:53:24,-33.918,25.5701,64.09,59,20,11.5
85,Upernavik,GL,2021-09-17 13:53:24,72.7868,-56.1549,29.34,80,90,8.37
86,Nagato,JP,2021-09-17 13:53:25,34.3833,131.2,75.11,90,100,15.46
87,Kruisfontein,ZA,2021-09-17 13:53:25,-34.0033,24.7314,61.88,54,58,11.52
88,Narsaq,GL,2021-09-17 13:53:25,60.9167,-46.05,42.28,73,20,2.59
89,Kudahuvadhoo,MV,2021-09-17 13:53:26,2.6708,72.8944,83.46,71,87,6.4
90,Tuktoyaktuk,CA,2021-09-17 13:53:26,69.4541,-133.0374,41.0,100,75,12.66
91,Birjand,IR,2021-09-17 13:53:27,32.8663,59.2211,93.67,4,0,6.91
92,Itamaraca,BR,2021-09-17 13:53:27,-7.7478,-34.8256,84.88,65,11,11.77
93,Port Angeles,US,2021-09-17 13:53:27,48.1181,-123.4307,56.97,97,90,0.0
94,Victoria,HK,2021-09-17 13:49:51,22.2855,114.1577,87.33,82,2,1.01
95,Fayaoue,NC,2021-09-17 13:53:28,-20.65,166.5333,70.65,67,40,18.03
96,Clyde River,CA,2021-09-17 13:53:28,70.4692,-68.5914,30.43,74,90,3.44
97,Bluff,NZ,2021-09-17 13:53:29,-46.6,168.3333,33.8,76,7,11.3
98,Adrar,MR,2021-09-17 13:53:29,20.5022,-10.0711,96.98,28,100,9.62
99,Buala,SB,2021-09-17 13:53:29,-8.145,159.5921,79.59,82,79,7.45
100,Anshun,CN,2021-09-17 13:53:30,26.25,105.9333,65.98,97,100,4.0
101,Cascais,PT,2021-09-17 13:53:30,38.6979,-9.4215,78.66,61,20,7.0
102,Chumikan,RU,2021-09-17 13:53:31,54.7183,135.315,48.25,69,100,20.09
103,Palmer,US,2021-09-17 13:53:32,42.1584,-72.3287,67.77,78,90,1.99
104,Ilulissat,GL,2021-09-17 13:53:32,69.2167,-51.1,20.84,51,0,3.69
105,Sparks,US,2021-09-17 13:53:33,39.5349,-119.7527,62.94,49,1,3.44
106,La Ronge,CA,2021-09-17 13:53:33,55.1001,-105.2842,43.05,93,90,5.75
107,Yumen,CN,2021-09-17 13:53:33,40.2833,97.2,72.52,23,77,10.18
108,Qaanaaq,GL,2021-09-17 13:53:34,77.484,-69.3632,12.07,68,9,7.65
109,Udayagiri,IN,2021-09-17 13:53:34,20.1333,84.3833,72.66,90,89,1.39
110,Colares,PT,2021-09-17 13:53:35,38.7992,-9.4469,78.48,62,20,14.97
111,Vaini,TO,2021-09-17 13:53:35,-21.2,-175.2,71.76,100,20,2.3
112,Alofi,NU,2021-09-17 13:53:36,-19.0595,-169.9187,75.09,94,12,5.75
113,Iqaluit,CA,2021-09-17 13:53:36,63.7506,-68.5145,33.53,93,90,21.85
114,Danjiangkou,CN,2021-09-17 13:53:36,32.5428,111.5086,71.83,84,100,7.07
115,Coffeyville,US,2021-09-17 13:53:37,37.0373,-95.6164,74.01,88,1,4.61
116,Aquiraz,BR,2021-09-17 13:53:37,-3.9014,-38.3911,89.69,54,6,17.02
117,Hofn,IS,2021-09-17 13:53:38,64.2539,-15.2082,55.42,94,90,10.36
118,Vila Velha,BR,2021-09-17 13:53:38,-20.3297,-40.2925,76.95,83,75,8.05
119,Atuona,PF,2021-09-17 13:53:38,-9.8,-139.0333,77.45,72,11,20.2
120,Cabo San Lucas,MX,2021-09-17 13:50:02,22.8909,-109.9124,79.14,89,94,5.99
121,Ornskoldsvik,SE,2021-09-17 13:53:39,63.2909,18.7153,48.02,71,90,6.91
122,Talakan,RU,2021-09-17 13:53:39,50.3167,130.3667,46.2,92,87,8.28
123,Bereda,ES,2021-09-17 13:53:40,43.2686,-7.5406,63.91,100,78,7.54
124,Lebu,CL,2021-09-17 13:53:40,-37.6167,-73.65,53.65,68,88,2.73
125,Lagoa,PT,2021-09-17 13:53:41,39.05,-27.9833,68.09,72,90,10.51
126,Mahebourg,MU,2021-09-17 13:53:41,-20.4081,57.7,75.49,73,40,12.66
127,Maple Creek,CA,2021-09-17 13:53:41,49.9168,-109.4848,42.85,56,100,11.5
128,Bethel,US,2021-09-17 13:53:42,41.3712,-73.414,69.49,93,90,1.99
129,Shipitsyno,RU,2021-09-17 13:53:42,61.2806,46.5208,43.48,88,100,8.1
130,Paranavai,BR,2021-09-17 13:53:43,-23.0731,-52.4653,74.61,66,100,11.95
131,Healdsburg,US,2021-09-17 13:53:34,38.6105,-122.8692,57.58,81,11,1.7
132,Prince Rupert,CA,2021-09-17 13:53:43,54.3161,-130.3201,51.49,76,90,17.27
133,Kamenka,RU,2021-09-17 13:53:44,51.3223,42.7678,61.7,39,99,7.54
134,Barrow,US,2021-09-17 13:53:44,71.2906,-156.7887,32.65,100,100,12.93
135,Avarua,CK,2021-09-17 13:53:44,-21.2078,-159.775,75.25,73,75,13.8
136,Najran,SA,2021-09-17 13:53:45,17.4924,44.1277,95.65,11,32,15.68
137,Dikson,RU,2021-09-17 13:53:45,73.5069,80.5464,34.75,67,100,17.76
138,Lorengau,PG,2021-09-17 13:53:45,-2.0226,147.2712,81.88,76,8,9.15
139,Casper,US,2021-09-17 13:53:46,42.8666,-106.3131,48.97,55,0,4.56
140,Georgetown,MY,2021-09-17 13:53:46,5.4112,100.3354,80.55,85,20,1.14
141,Corinto,GR,2021-09-17 13:53:47,37.9407,22.9573,89.62,46,28,0.36
142,Esil,KZ,2021-09-17 13:53:47,51.9556,66.4042,48.52,49,26,14.09
143,Aubergenville,FR,2021-09-17 13:53:47,48.96,1.8547,75.49,57,42,6.53
144,Sorland,NO,2021-09-17 13:53:48,67.667,12.6934,53.67,89,100,10.0
145,Torbay,CA,2021-09-17 13:53:48,47.6666,-52.7314,66.49,66,20,5.75
146,Whyalla,AU,2021-09-17 13:53:48,-33.0333,137.5833,57.09,58,0,8.05
147,Carnarvon,AU,2021-09-17 13:53:49,-24.8667,113.6333,62.67,67,0,18.41
148,San Jeronimo,PE,2021-09-17 13:53:49,-11.9472,-75.2829,54.41,57,92,3.62
149,Sainte-Suzanne,RE,2021-09-17 13:53:50,-20.9061,55.6089,77.18,79,20,8.05
150,Napier,NZ,2021-09-17 13:53:50,-39.4833,176.9167,45.25,87,98,5.01
151,Palembang,ID,2021-09-17 13:53:50,-2.9167,104.7458,84.29,70,20,8.05
152,Carnot,CF,2021-09-17 13:53:51,4.9409,15.8665,72.72,89,100,4.43
153,Orapa,BW,2021-09-17 13:53:51,-21.2833,25.3667,93.78,6,26,7.7
154,Safaga,EG,2021-09-17 13:53:52,26.7292,33.9365,89.55,47,3,20.94
155,Kharovsk,RU,2021-09-17 13:53:52,59.9642,40.1912,43.75,75,93,7.02
156,Lompoc,US,2021-09-17 13:53:53,34.6391,-120.4579,57.56,89,90,3.44
157,Dasoguz,TM,2021-09-17 13:53:53,41.8363,59.9666,87.75,25,0,18.41
158,Port Alfred,ZA,2021-09-17 13:53:53,-33.5906,26.891,61.34,57,34,14.34
159,Staraya Kulatka,RU,2021-09-17 13:53:54,52.7167,47.6167,48.31,51,100,7.96
160,Labuhan,ID,2021-09-17 13:53:54,-6.8844,112.2051,80.82,74,35,9.73
161,Latung,PH,2021-09-17 13:53:55,5.5,120.8833,79.99,82,100,1.25
162,Castro,BR,2021-09-17 13:53:55,-24.7911,-50.0119,57.38,96,100,8.9
163,Ende,ID,2021-09-17 13:53:56,-8.8432,121.6623,77.45,85,95,3.56
164,Ternate,ID,2021-09-17 13:53:56,0.8,127.4,76.23,80,100,5.23
165,Vavuniya,LK,2021-09-17 13:53:57,8.7514,80.4971,75.83,93,100,1.54
166,Half Moon Bay,US,2021-09-17 13:53:57,37.4636,-122.4286,58.86,87,90,1.01
167,Kyren,RU,2021-09-17 13:53:58,51.6828,102.1408,49.33,91,97,0.56
168,Hobart,AU,2021-09-17 13:53:58,-42.8794,147.3294,54.27,73,75,3.0
169,Kununurra,AU,2021-09-17 13:53:59,-15.7667,128.7333,82.38,54,75,5.75
170,Bandarbeyla,SO,2021-09-17 13:53:59,9.4942,50.8122,79.86,77,14,31.05
171,Wanning,CN,2021-09-17 13:53:59,18.8003,110.3967,80.8,82,19,5.46
172,Newton Stewart,GB,2021-09-17 13:54:00,54.9578,-4.4832,64.35,97,100,6.51
173,Ribeira Grande,PT,2021-09-17 13:54:00,38.5167,-28.7,75.6,78,20,5.75
174,Tual,ID,2021-09-17 13:54:00,-5.6667,132.75,80.2,74,97,20.22
175,Honiara,SB,2021-09-17 13:54:01,-9.4333,159.95,76.87,89,56,6.31
176,Faanui,PF,2021-09-17 13:54:01,-16.4833,-151.75,78.66,71,5,24.02
177,Aksu,CN,2021-09-17 13:54:02,41.1231,80.2644,76.77,26,0,3.49
178,Rehoboth,NA,2021-09-17 13:54:02,-23.3167,17.0833,85.98,5,12,17.2
179,Madang,PG,2021-09-17 13:54:02,-5.2246,145.7966,78.69,86,86,1.66
180,Dali,CN,2021-09-17 13:54:03,25.7,100.1833,61.97,93,28,4.27
181,Jeremoabo,BR,2021-09-17 13:54:03,-10.075,-38.4808,87.01,34,2,14.63
182,Kavieng,PG,2021-09-17 13:54:03,-2.5744,150.7967,82.17,79,57,17.0
183,Saint John,CA,2021-09-17 13:52:57,45.2727,-66.0677,63.63,88,40,3.44
184,Vanavara,RU,2021-09-17 13:54:04,60.34,102.2797,36.97,74,49,2.8
185,Saint-Philippe,RE,2021-09-17 13:54:04,-21.3585,55.7679,76.55,75,15,7.52
186,Nanortalik,GL,2021-09-17 13:54:05,60.1432,-45.2371,39.27,90,79,11.88
187,Wilmington,US,2021-09-17 13:54:03,34.2257,-77.9447,79.0,80,40,8.05
188,Invermere,CA,2021-09-17 13:54:06,50.5167,-116.0354,40.28,55,100,4.65
189,Balabac,PH,2021-09-17 13:54:06,7.9868,117.0645,79.29,80,100,11.01
190,Wattegama,LK,2021-09-17 13:54:06,6.7989,81.4808,85.12,66,99,7.47
191,Yamachiche,CA,2021-09-17 13:54:07,46.2668,-72.8324,61.95,86,1,4.61
192,Ilo,PE,2021-09-17 13:54:07,-17.6394,-71.3375,58.06,82,90,5.75
193,Rosario Do Sul,BR,2021-09-17 13:53:07,-30.2583,-54.9142,64.47,72,2,12.5
194,Watsa,CD,2021-09-17 13:54:08,3.0372,29.5355,73.17,87,73,5.3
195,Morant Bay,JM,2021-09-17 13:54:08,17.8815,-76.4093,87.62,76,100,10.8
196,Rioja,AR,2021-09-17 13:54:08,-29.4111,-66.8507,70.88,24,21,5.3
197,San Patricio,US,2021-09-17 13:54:09,28.017,-97.5169,84.87,75,0,2.37
198,Gourcy,BF,2021-09-17 13:54:09,13.2167,-2.35,91.62,44,64,6.96
199,Novyy Urengoy,RU,2021-09-17 13:54:10,66.0833,76.6333,39.74,94,100,25.7
200,Diamantina,BR,2021-09-17 13:54:10,-18.2494,-43.6003,73.51,48,17,17.07
201,Daru,PG,2021-09-17 13:54:10,-9.0763,143.2092,76.57,76,97,19.35
202,Alice Springs,AU,2021-09-17 13:54:11,-23.7,133.8833,67.55,88,90,6.91
203,Chapais,CA,2021-09-17 13:54:11,49.7834,-74.8492,60.58,61,56,14.34
204,Virden,US,2021-09-17 13:54:11,39.5009,-89.7679,74.05,87,0,4.32
205,Griffith,US,2021-09-17 13:54:12,41.5284,-87.4237,74.14,83,40,4.0
206,Tarakan,ID,2021-09-17 13:54:12,3.3,117.6333,81.9,78,40,3.44
207,Husavik,IS,2021-09-17 13:54:12,66.0449,-17.3389,49.91,90,100,1.28
208,Kodiak,US,2021-09-17 13:54:13,57.79,-152.4072,48.22,87,100,17.45
209,Wangou,CN,2021-09-17 13:54:13,42.0623,126.9127,51.75,93,0,2.33
210,Roald,NO,2021-09-17 13:54:14,62.5833,6.1333,67.12,63,20,8.05
211,Poum,NC,2021-09-17 13:54:14,-20.2333,164.0167,69.75,63,0,19.1
212,Kyaikkami,MM,2021-09-17 13:54:14,16.08,97.5675,80.26,86,100,10.92
213,Bangassou,CF,2021-09-17 13:54:15,4.7413,22.8184,75.29,93,100,3.47
214,Aykino,RU,2021-09-17 13:54:15,62.2248,49.9922,41.09,64,100,7.7
215,Shuya,RU,2021-09-17 13:54:16,56.8487,41.3883,47.17,53,95,5.75
216,Tezu,IN,2021-09-17 13:54:16,27.9167,96.1667,73.42,98,100,3.24
217,Petropavlovsk-Kamchatskiy,RU,2021-09-17 13:54:16,53.0452,158.6483,41.59,100,0,6.71
218,Ushtobe,KZ,2021-09-17 13:54:17,45.2514,77.9838,70.09,16,37,3.49
219,Cherskiy,RU,2021-09-17 13:54:17,68.75,161.3,38.68,84,100,5.86
220,Hailar,CN,2021-09-17 13:54:17,49.2,119.7,48.42,69,26,9.13
221,Padang,ID,2021-09-17 13:54:18,-0.9492,100.3543,77.05,87,100,3.49
222,Luganville,VU,2021-09-17 13:54:18,-15.5333,167.1667,76.23,87,40,6.26
223,Marawi,PH,2021-09-17 13:54:19,7.9986,124.2928,66.65,92,100,2.37
224,Urengoy,RU,2021-09-17 13:54:19,65.9667,78.3667,42.03,94,100,21.77
225,Sabha,LY,2021-09-17 13:54:20,27.0377,14.4283,92.01,15,0,9.26
226,Namatanai,PG,2021-09-17 13:54:20,-3.6667,152.4333,78.94,83,41,7.47
227,Matara,LK,2021-09-17 13:54:20,5.9485,80.5353,80.1,86,98,9.82
228,Komsomolskiy,UZ,2021-09-17 13:54:21,40.4272,71.7189,83.12,24,0,4.61
229,Barra Dos Coqueiros,BR,2021-09-17 13:54:21,-10.9089,-37.0386,82.42,57,75,14.97
230,Trincomalee,LK,2021-09-17 13:54:22,8.5711,81.2335,81.43,80,69,8.05
231,Chipinge,ZW,2021-09-17 13:54:22,-20.1883,32.6236,74.37,54,13,11.92
232,Lat Yao,TH,2021-09-17 13:54:22,15.751,99.7893,76.3,93,100,2.77
233,Olafsvik,IS,2021-09-17 13:54:23,64.8945,-23.7142,45.73,66,100,13.82
234,Tucupita,VE,2021-09-17 13:54:23,9.0622,-62.051,87.39,60,25,5.93
235,Fukue,JP,2021-09-17 13:54:23,32.6881,128.8419,74.21,83,100,23.13
236,Valparaiso,CL,2021-09-17 13:54:24,-33.0393,-71.6273,52.03,97,90,5.75
237,Brae,GB,2021-09-17 13:54:24,60.3964,-1.353,58.91,85,100,27.02
238,Saskylakh,RU,2021-09-17 13:54:24,71.9167,114.0833,30.42,90,97,12.55
239,Hami,CN,2021-09-17 13:54:25,42.8,93.45,79.05,21,100,6.31
240,Pevek,RU,2021-09-17 13:54:25,69.7008,170.3133,32.34,100,100,7.31
241,Eureka,US,2021-09-17 13:52:03,40.8021,-124.1637,51.26,89,75,0.43
242,Udachnyy,RU,2021-09-17 13:54:26,66.4167,112.4,33.94,86,100,14.0
243,Saint-Joseph,RE,2021-09-17 13:54:26,-21.3667,55.6167,75.56,77,27,2.82
244,Maarianhamina,AX,2021-09-17 13:54:27,60.0973,19.9348,51.66,62,90,9.22
245,Naryan-Mar,RU,2021-09-17 13:54:27,67.6713,53.087,41.38,74,100,18.21
246,Coxim,BR,2021-09-17 13:54:27,-18.5067,-54.76,96.3,27,3,9.19
247,Baruun-Urt,MN,2021-09-17 13:54:28,46.6806,113.2792,53.6,70,13,7.43
248,Byron Bay,AU,2021-09-17 13:51:52,-28.65,153.6167,61.88,82,2,8.16
249,Lexington,US,2021-09-17 13:50:12,37.9887,-84.4777,75.29,86,1,1.01
250,Khani,GE,2021-09-17 13:54:28,41.9563,42.9566,60.37,98,100,2.84
251,Hithadhoo,MV,2021-09-17 13:54:28,-0.6,73.0833,82.9,73,100,6.17
252,Coihaique,CL,2021-09-17 13:54:29,-45.5752,-72.0662,45.21,81,75,4.61
253,Port Blair,IN,2021-09-17 13:54:29,11.6667,92.75,80.89,80,63,5.57
254,Anadyr,RU,2021-09-17 13:54:30,64.75,177.4833,34.3,75,0,6.71
255,Fairbanks,US,2021-09-17 13:50:04,64.8378,-147.7164,43.3,82,1,0.0
256,Gloucester,GB,2021-09-17 13:51:33,51.8657,-2.2431,71.51,62,75,9.22
